uid,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to
u00,2.0,1.0,0.5,1.5,2.5,2.0,0.0,0.5,2.5,2.5,1.0,1.5,0.0,0.0,2.5,1.5,2.5,2.0,3.0,3.0
u01,2.0,1.0,1.0,2.5,3.0,2.5,0.0,0.5,2.5,3.0,1.5,1.0,0.5,1.0,3.0,2.5,2.0,1.0,3.0,3.0
u02,2.5,1.0,1.0,3.0,3.0,3.0,0.0,1.5,1.0,3.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0
u03,1.5,0.5,0.0,2.5,0.5,1.0,2.5,2.0,0.5,1.0,1.0,1.0,2.0,1.5,2.0,3.0,1.5,1.5,2.0,1.5
u04,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.5,1.0,2.5,2.5,1.5,2.0,1.5,1.0,1.5,1.5,2.0,1.5,1.5
u07,1.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0,1.5,3.0,2.0,1.5,0.5,2.5,2.5,3.0,1.0,2.0,3.0,3.0
u09,2.5,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0,1.0,3.0,2.0,1.5,1.0,3.0,3.0
u10,1.0,2.0,2.0,1.0,0.5,0.5,3.0,3.0,0.0,0.5,1.0,3.0,3.0,3.0,2.5,0.0,0.0,2.0,1.0,1.0
u14,2.5,0.5,0.0,3.0,3.0,2.5,0.0,0.0,2.5,3.0,1.0,0.5,0.0,0.0,1.5,3.0,0.0,0.0,2.5,3.0
u15,2.5,0.5,0.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,1.5,0.5,0.0,0.0,3.0,3.0,0.0,0.0,3.0,3.0
u16,2.0,1.0,0.5,3.0,3.0,3.0,1.0,1.0,1.0,2.5,2.0,0.5,1.0,1.5,3.0,3.0,2.0,1.0,3.0,3.0
u17,1.5,2.5,0.5,2.0,0.0,0.5,0.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0
u18,1.5,2.0,2.5,1.5,2.0,1.0,2.5,2.0,1.0,1.5,2.5,2.5,2.5,2.0,1.5,0.5,2.0,2.0,1.0,0.5
u19,1.0,2.5,2.5,1.0,2.0,1.5,1.5,0.5,0.5,2.0,2.0,2.0,2.5,2.5,1.5,1.0,2.0,1.5,2.0,2.0
u20,3.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,2.5,1.0,1.0,1.0,1.0,2.5,2.5,1.5,1.5,3.0,2.5
u23,2.5,2.0,1.5,1.5,1.5,1.5,1.0,2.0,2.0,2.0,2.0,1.5,2.0,1.5,1.5,2.5,2.0,2.0,2.0,2.0
u24,2.0,1.5,2.0,2.0,1.5,1.0,2.0,2.5,2.0,1.5,2.5,2.5,2.5,1.5,3.0,1.5,1.5,3.0,2.0,2.0
u27,2.0,2.0,2.0,2.5,2.5,1.5,2.0,1.0,1.0,2.5,1.5,2.0,2.0,1.5,2.0,1.0,1.0,1.5,2.0,2.0
u30,3.0,0.5,0.5,3.0,3.0,3.0,0.0,0.5,3.0,3.0,1.0,0.0,0.0,0.5,3.0,3.0,0.0,0.0,3.0,3.0
u31,1.5,0.5,1.5,3.0,2.5,2.0,0.0,1.0,2.5,2.5,1.5,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
u32,3.0,2.5,0.0,3.0,3.0,3.0,0.0,0.5,3.0,3.0,1.0,1.0,0.0,0.5,3.0,3.0,0.5,0.5,3.0,3.0
