uid,Interested,Distressed,Upset,Strong,Guilty,Scared,Hostile ,Enthusiastic,Proud,Irritable,Alert,Inspired,Nervous,Determined ,Attentive,Jittery,Active ,Afraid 
u00,4.5,3.5,3.0,3.5,3.5,3.0,3.5,3.0,3.5,3.5,4.0,3.5,1.5,3.5,3.0,2.5,3.0,3.0
u01,3.5,2.0,2.0,2.5,3.5,1.0,1.0,3.0,3.0,2.5,3.5,2.5,2.5,3.5,3.5,2.5,3.5,1.0
u02,4.0,1.5,1.5,3.0,1.5,1.5,1.0,3.0,2.5,1.5,3.5,3.0,2.0,3.0,2.0,2.0,1.5,1.5
u03,4.0,2.5,2.0,3.5,3.0,4.0,3.5,3.0,2.0,1.5,3.0,3.5,2.0,2.5,2.5,3.0,3.5,2.0
u04,3.5,2.0,1.5,3.5,2.0,1.0,1.5,3.5,3.5,2.5,3.5,2.0,3.0,3.5,3.0,1.5,4.5,1.5
u05,4.0,2.0,1.5,3.5,4.0,4.0,3.0,4.0,2.5,1.5,4.0,3.0,2.0,3.5,4.0,1.0,4.0,3.0
u07,2.5,3.0,2.5,3.5,1.5,1.5,2.5,2.5,4.0,3.0,2.5,1.5,2.5,2.0,2.0,1.0,2.5,1.5
u09,3.5,1.0,1.5,2.5,1.0,1.5,1.0,3.5,3.5,1.0,3.5,2.5,1.5,3.0,3.5,1.5,4.5,1.5
u10,4.5,3.5,1.5,4.0,2.5,1.0,3.5,4.0,4.0,5.0,4.0,4.5,3.0,4.5,4.5,3.0,4.0,1.0
u14,4.5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.5,3.5,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0
u15,3.5,3.5,3.5,4.0,1.5,2.5,2.5,3.5,3.0,3.0,3.5,3.0,3.0,3.5,3.0,2.5,4.5,3.0
u16,2.5,4.0,3.5,2.0,3.0,3.5,1.0,1.5,1.5,3.0,1.5,1.5,4.0,2.5,3.0,1.0,1.5,3.5
u17,3.0,3.5,3.0,4.0,1.0,2.5,3.0,5.0,4.0,4.0,1.0,3.0,4.5,5.0,2.5,2.5,1.5,3.0
u18,2.5,5.0,4.0,2.0,1.0,3.5,4.0,1.5,1.0,4.0,2.5,1.0,4.0,2.5,1.5,2.5,2.0,3.5
u19,4.0,2.0,1.5,3.5,2.5,2.5,1.0,4.5,3.0,1.0,3.5,4.0,3.0,3.5,3.5,2.5,3.0,2.5
u20,3.0,3.0,2.5,3.5,2.0,2.0,1.0,3.0,2.5,1.0,3.0,3.0,3.5,3.0,3.0,2.5,3.0,2.0
u23,2.0,3.0,3.0,2.5,0.5,1.5,3.0,3.5,3.5,3.5,3.5,2.0,4.5,3.5,4.0,3.5,2.5,2.0
u24,3.0,3.5,1.5,3.0,1.0,1.0,1.5,2.0,3.0,2.0,3.5,1.5,2.5,3.0,2.0,2.0,3.0,1.5
u27,2.5,3.0,1.5,2.5,1.0,2.5,1.0,2.5,2.0,3.5,2.5,2.0,3.5,2.0,3.0,2.0,2.0,2.5
u30,4.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0,3.5,1.0,4.0,4.0,1.0,3.5,5.0
u31,3.0,2.5,2.5,3.5,3.0,3.5,3.0,3.5,1.5,2.5,2.5,2.5,3.0,3.5,2.5,2.5,3.0,4.5
u32,4.5,3.0,1.5,3.5,1.0,1.0,1.0,4.0,4.5,2.5,3.5,3.5,2.0,4.0,4.0,1.5,3.5,1.0
u33,3.5,5.0,4.5,1.5,3.0,3.0,2.5,3.0,3.0,2.5,3.0,3.0,3.5,2.5,2.0,3.5,1.0,3.5
u34,3.5,2.0,1.5,3.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,2.5,3.0,2.5,1.0,3.0,1.0
u35,3.0,2.5,2.0,2.5,2.0,1.0,1.0,3.0,3.0,1.0,1.5,3.0,2.0,2.5,2.0,1.0,3.0,1.0
u36,4.5,1.5,1.5,3.5,1.0,1.5,1.0,3.5,3.5,2.0,2.0,3.5,3.0,3.5,4.0,2.0,4.0,1.5
