uid,mean_duration_dark,std_dark,mean_lock_duration,std_lock
u00,9595.923913043478,7774.6161141545526,9457.8053097345128,7764.6527583447623
u01,12134.068292682927,8781.0151857798937,14280.356481481482,9787.1476010422775
u02,11389.069518716578,9877.5463834225811,10340.108974358975,8409.0858314192428
u03,14019.730158730159,9770.4564306737284,14850.039215686274,10292.10796728381
u04,11836.712686567163,8169.6765584958184,14496.551867219918,8605.6399058535153
u05,13043.088235294117,10189.601149521612,13357.544444444444,10166.87500077374
u07,13653.809210526315,10223.981921220395,15476.071895424837,10430.157554067637
u08,10381.009433962265,7779.9854858661765,8540.2246376811599,5819.5235318661362
u09,11098.753926701571,8662.2902082237943,14803.744292237443,10298.655086570663
u10,11093.244239631336,9030.6346154552466,9943.0166112956813,8159.5168455336861
u12,10734.401486988847,9562.5552453421587,9373.5339233038339,7583.7687096699856
u13,14594.815789473685,10972.478764527015,10137.340101522843,7948.9965232707546
u14,13691.326530612245,9765.6688630301887,11295.138248847927,8518.1674030952527
u15,14333.285714285714,10162.545681801084,15342.689655172413,11312.435694931572
u16,10564.435582822085,8368.1936921395009,10656.037190082645,8457.7341012067809
u17,12080.709956709956,8473.9818971326076,13126.231441048036,8964.9286493977816
u18,11817.92,9467.3214345769411,12377.0,9067.4897983897645
u19,13752.329608938548,10736.900316707379,11370.472440944883,9074.6598177725446
u20,12465.373626373626,8765.1981211015172,12518.536363636364,8984.2852861662377
u22,11872.226804123711,8846.116817133623,11841.613207547171,9243.2716580619453
u23,13616.785340314136,10111.405607644181,10393.163551401869,7408.9425492137552
u24,9906.1428571428569,8364.6191401966553,11099.849206349207,8491.4035914830802
u25,9456.2577319587635,6533.4881737919586,12007.98076923077,8536.9447527302545
u27,9446.0096153846152,7712.0024917397332,11037.612244897959,8271.295621473655
u30,12392.329842931937,9864.9928206733457,13422.572033898305,9639.3412606736965
u31,9958.1100000000006,7307.1856051355371,7803.5144230769229,4725.9242156534492
u32,12715.120689655172,9770.4050194480005,12776.622807017544,9542.9664517816855
u33,12645.355555555556,9440.7821160362091,10328.306451612903,8129.5622213907536
u34,11209.529411764706,7254.9472244480949,13038.450000000001,8168.2529495296594
u35,12580.617021276596,7905.9793465323064,12577.971153846154,8391.0519413158327
u36,10981.02868852459,9449.4247207147819,9684.8828828828828,8169.2688464012535
u39,17440.75,11468.566941318344,10640.692307692309,8603.6245884610507
u41,11516.931506849314,9073.1350373653968,14247.661764705883,9832.7318770018665
u42,14530.770833333334,9371.1730750023653,12092.765306122448,8391.9631095872846
u43,12297.057553956834,9913.1915940034851,12356.679012345679,9520.4506978167537
u44,12096.190476190477,9487.7037006505361,11237.795555555556,8978.8528924840484
u45,14543.478260869566,10120.09651756789,10126.070652173914,6210.7079902031692
u46,10053.768292682927,7160.3576544048865,9354.0731707317082,7358.5100846148016
u47,13019.739130434782,9254.2434929927822,11501.105882352942,7991.5571714205389
u49,10203.910447761195,7204.9929883470149,8215.4265232974903,5409.047719686755
u50,13562.112903225807,10410.149504837062,11658.376237623763,7919.9703892979378
u51,10901.879807692309,8397.6274539744918,12287.465189873417,9092.2713533369824
u52,10474.933014354066,7748.9333641859557,9335.0506329113923,7026.5929941210661
u53,13498.879032258064,9318.7133418873873,12065.896265560166,7541.1577295599809
u54,9892.3907284768211,7440.3438555211178,8722.3454545454551,6181.4976469662288
u56,12912.88785046729,9875.5673276778016,13267.394160583941,9861.5627856118444
u57,11029.403433476395,9018.5829302058919,8686.9965753424658,5888.4986565397521
u58,11290.091397849463,8798.6020393290401,12035.744360902256,8560.1972657107472
u59,10667.4,7879.4710326995619,10468.089655172414,7461.8408923205252
